date,IP,City,ASNumber,MeanThroughputMbps,MinRTT,LossRate
2020-04-23,176.224.220.218,Riyadh,1213,17.225593505302655,141.0,
2020-02-07,176.224.87.79,Riyadh,1213,50.84064975960245,139.0,
2019-12-02,176.225.50.219,Riyadh,1213,4.035603457014457,169.0,
2020-03-30,176.19.199.226,Riyadh,1213,4.417489561321983,192.0,
2019-12-02,37.42.130.88,Riyadh,1213,32.005287930901424,175.0,
2019-12-04,37.42.9.159,Riyadh,1213,1.9572652259182344,154.0,
2019-12-26,176.19.225.193,Riyadh,1213,3.267928980464737,154.0,
2020-05-07,37.43.56.10,Riyadh,1213,1.0704924258680817,168.0,
2019-11-13,176.19.219.20,Riyadh,1213,57.3809875916213,144.0,
2020-03-29,37.43.15.165,Riyadh,1213,1.86504907732698,335.0,
2020-03-29,37.43.15.165,Riyadh,1213,21.43942012073177,143.0,
2020-03-29,176.18.167.81,Riyadh,1213,0.2870942584119261,1288.0,
2019-11-30,95.186.92.42,Riyadh,1213,0.5447762723213152,137.0,
2019-11-30,95.186.92.42,Riyadh,1213,0.1547019877714694,261.0,
2020-04-08,176.225.125.67,Riyadh,1213,15.560955942997472,150.0,
2020-02-11,37.42.164.174,Riyadh,1213,7.9792669545995984,169.0,
2019-12-15,176.225.82.63,Riyadh,1213,12.51897801653354,159.0,
2020-01-06,176.224.171.250,Riyadh,1213,37.75062320095616,149.0,
2022-01-01,176.45.10.131,Riyadh,1213,68.56090668351573,94.0,1.5372475521089588e-05
